Title,Content,Date created,Date modified
The struggle,Got celery to work and that was a major task.\nstill have to use it properly.\ni have just got it to function\nwonder how many more days to finish :(,2023-03-21 09:47:07,Not modified
Redis,Got redis also working  but i still don't understand how it works.\nStill got a lot to figure out.\nLets see how it goes.\n,2023-03-21 09:50:16,2023-03-21 15:20:28.236129
